ip,hostname,port,status,rtt_ms,timestamp,error
192.168.1.3,,80,closed,1013.86,2025-10-05T12:12:08.562939Z,
192.168.1.5,,80,closed,1012.81,2025-10-05T12:12:08.564283Z,
192.168.1.2,,80,closed,1014.33,2025-10-05T12:12:08.562496Z,
192.168.1.0,,80,closed,1008.27,2025-10-05T12:12:08.568736Z,
192.168.1.13,,80,closed,1008.44,2025-10-05T12:12:08.569431Z,
192.168.1.19,,80,closed,1006.33,2025-10-05T12:12:08.571959Z,
192.168.1.28,,80,closed,1003.1,2025-10-05T12:12:08.575783Z,
192.168.1.6,,80,closed,1014.54,2025-10-05T12:12:08.564769Z,
192.168.1.1,,80,closed,1014.99,2025-10-05T12:12:08.561482Z,
192.168.1.12,,80,closed,1008.71,2025-10-05T12:12:08.568995Z,
192.168.1.14,,80,closed,1008.08,2025-10-05T12:12:08.569868Z,
192.168.1.26,,80,closed,1003.8,2025-10-05T12:12:08.574854Z,
192.168.1.24,,80,closed,1004.7,2025-10-05T12:12:08.574014Z,
192.168.1.29,,80,closed,1002.84,2025-10-05T12:12:08.576216Z,
192.168.1.30,,80,closed,1005.54,2025-10-05T12:12:08.576747Z,
192.168.1.9,,80,closed,1010.51,2025-10-05T12:12:08.566256Z,
192.168.1.10,,80,closed,1012.07,2025-10-05T12:12:08.567831Z,
192.168.1.16,,80,closed,1007.34,2025-10-05T12:12:08.570761Z,
192.168.1.22,,80,closed,1005.15,2025-10-05T12:12:08.573162Z,
192.168.1.4,,80,closed,1018.39,2025-10-05T12:12:08.563332Z,
192.168.1.25,,80,closed,1009.04,2025-10-05T12:12:08.574429Z,
192.168.1.23,,80,closed,1005.04,2025-10-05T12:12:08.573580Z,
192.168.1.11,,80,closed,1009.14,2025-10-05T12:12:08.568423Z,
192.168.1.17,,80,closed,1007.0,2025-10-05T12:12:08.571231Z,
192.168.1.20,,80,closed,1006.03,2025-10-05T12:12:08.572313Z,
192.168.1.27,,80,closed,1003.43,2025-10-05T12:12:08.575310Z,
192.168.1.7,,80,closed,1019.63,2025-10-05T12:12:08.565245Z,
